date,ratio,Gas consumed Mm3,Gas consumed from stocks Mm3,Total Gas Stocks Mm3
2017-12-01,0.6915310117453122,9706.0,2307.7619047619028,13261.52380952381
2018-01-01,0.6059610154125114,8824.0,2749.5476190476184,10511.97619047619
2018-02-01,0.6370015593673424,8978.0,2598.9761904761917,7912.999999999999
2018-03-01,0.7752604797673855,8254.0,1304.4523809523807,6608.547619047618
2018-04-01,1.2502118644067797,4720.0,-1469.5714285714294,8078.119047619048
2018-05-01,1.5403604048383115,4051.0,-2395.7619047619046,10473.880952380952
2018-06-01,1.4508714321798435,3959.0,-2023.8333333333321,12497.714285714284
2018-07-01,1.3324348607367476,4452.0,-1719.9285714285725,14217.642857142857
2018-08-01,1.3220595658758203,3962.0,-1544.8809523809523,15762.52380952381
2018-09-01,1.166052460437893,4613.0,-1074.0476190476184,16836.571428571428
2018-10-01,0.9814814814814815,5022.0,-300.2619047619046,17136.833333333332
2018-11-01,0.7451435198608293,6898.0,1276.357142857145,15860.476190476187
2018-12-01,0.6614058652339377,8934.0,2358.5714285714275,13501.90476190476
2019-01-01,0.6176637101339876,10598.0,3294.7380952380936,10207.166666666666
2019-02-01,0.6344246031746031,8064.0,2323.190476190476,7883.97619047619
2019-03-01,0.8648455377574371,6992.0,480.78571428571377,7403.190476190476
2019-04-01,1.21260838150289,5536.0,-1423.3095238095239,8826.5
2019-05-01,1.360219422998781,4922.0,-1973.0476190476184,10799.547619047618
2019-06-01,1.473769355211463,4327.0,-2195.2857142857138,12994.833333333332
2019-07-01,1.3155359293456443,4982.0,-1768.9285714285725,14763.761904761905
2019-08-01,1.31193100143747,4174.0,-1531.2380952380954,16295.0
2019-09-01,1.1516995383969786,4766.0,-978.809523809523,17273.809523809523
2019-10-01,0.9969342785974324,5219.0,-319.30952380952294,17593.119047619046
2019-11-01,0.7969216975493126,6692.0,930.7142857142862,16662.40476190476
2019-12-01,0.666708105420189,8044.0,2143.5714285714257,14518.833333333334
